14-Dec-2021 18:00:34  | FRM | ### | ----------------------------------------------------------------------------
14-Dec-2021 18:01:55  | INF | ### | | c_odr_trim_current        |         -2.00|     0.00  | c_odr_trim_current |
14-Dec-2021 18:01:56  | INF | ### | | acc_trm_dgain_s0_y        |   -7403.00LSB|  0.00LSB  | dgain_s0_DC_CBIST_Noise_nsf_S28 |
14-Dec-2021 18:01:56  | INF | ### | | acc_trm_dgain_s0_z        |   -7403.00LSB|  0.00LSB  | dgain_s0_DC_CBIST_Noise_nsf_S28 |
14-Dec-2021 18:01:56  | INF | ### | | acc_trm_dgain_s0_x        |   -7403.00LSB|  0.00LSB  | dgain_s0_DC_CBIST_Noise_nsf_S28 |
14-Dec-2021 18:01:56  | INF | ### | | a_x_S28_DC_CBIST          |    -417.97LSB|  0.56LSB  | X < DC < X, AC < X |
14-Dec-2021 18:01:57  | INF | ### | | a_y_S28_DC_CBIST          |     366.37LSB|  0.54LSB  | X < DC < X, AC < X |
14-Dec-2021 18:01:57  | INF | ### | | a_z_S28_DC_CBIST          |     329.73LSB|  0.48LSB  | X < DC < X, AC < X |
14-Dec-2021 18:01:57  | INF | ### | | tm_acc_ileak              |       1.00LSB|  0.00LSB  | tm_acc_ileak |
14-Dec-2021 18:01:57  | INF | ### | | a_x_S28_DC_ILEAK_Noise    |    -418.28LSB|  0.61LSB  | X < DC < X, AC < X |
14-Dec-2021 18:01:57  | INF | ### | | a_y_S28_DC_ILEAK_Noise    |     367.15LSB|  1.70LSB  | X < DC < X, AC < X |
14-Dec-2021 18:01:57  | INF | ### | | a_z_S28_DC_ILEAK_Noise    |     329.18LSB|  2.07LSB  | X < DC < X, AC < X |
14-Dec-2021 18:01:57  | INF | ### | | a_x_S28_DC_ILEAK_DIFF     |          0.31|     0.00  | a_x_S28_DC_ILEAK_DIFF |
14-Dec-2021 18:01:57  | INF | ### | | a_y_S28_DC_ILEAK_DIFF     |         -0.78|     0.00  | a_y_S28_DC_ILEAK_DIFF |
14-Dec-2021 18:01:57  | INF | ### | | a_z_S28_DC_ILEAK_DIFF     |          0.55|     0.00  | a_z_S28_DC_ILEAK_DIFF |
14-Dec-2021 18:01:57  | INF | ### | | tm_acc_axis_en            |       5.00LSB|  0.00LSB  | tm_acc_axis_en |
14-Dec-2021 18:01:58  | INF | ### | | a_x_S28_DC_ILEAK_CH2_Noise|    -419.14LSB|  0.69LSB  | X < DC < X, AC < X |
14-Dec-2021 18:01:58  | INF | ### | | a_y_S28_DC_ILEAK_CH2_Noise|  -31999.02LSB|  0.00LSB  | X < DC < X, AC < X |
14-Dec-2021 18:01:58  | INF | ### | | a_z_S28_DC_ILEAK_CH2_Noise|     329.26LSB|  1.93LSB  | X < DC < X, AC < X |
14-Dec-2021 18:01:58  | INF | ### | | a_x_S28_DC_ILEAK_CH2_DIFF |          0.86|     0.00  | a_x_S28_DC_ILEAK_CH2_DIFF |
14-Dec-2021 18:01:58  | INF | ### | | a_y_S28_DC_ILEAK_CH2_DIFF |      32366.17|     0.00  | a_y_S28_DC_ILEAK_CH2_DIFF |
