16-Nov-2021 13:59:33  | INF | ### | | a_y_S28_SC_CBIST          |  -23150.70LSB|  0.67LSB  | X < DC < X, AC < X |
16-Nov-2021 13:59:33  | INF | ### | | a_z_S28_SC_CBIST          |  -23109.69LSB|  1.04LSB  | X < DC < X, AC < X |
16-Nov-2021 13:59:34  | INF | ### | | NSF_S28_x                 |          0.89|     0.00  | NSF_S28_x |
16-Nov-2021 13:59:34  | INF | ### | | NSF_S28_y                 |          0.90|     0.00  | NSF_S28_y |
16-Nov-2021 13:59:34  | INF | ### | | NSF_S28_z                 |          0.89|     0.00  | NSF_S28_z |
16-Nov-2021 13:59:34  | INF | ### | | a_x_S28_DC_SC_CBIST       |    -170.35LSB|  0.49LSB  | X < DC < X, AC < X |
16-Nov-2021 13:59:34  | INF | ### | | a_y_S28_DC_SC_CBIST       |      30.27LSB|  0.75LSB  | X < DC < X, AC < X |
16-Nov-2021 13:59:34  | INF | ### | | a_z_S28_DC_SC_CBIST       |      61.37LSB|  0.67LSB  | X < DC < X, AC < X |
16-Nov-2021 13:59:34  | INF | ### | | a_x_S28_DC_SC_CBIST_nsf   |          0.44|     0.00  | a_x_S28_DC_SC_CBIST_nsf |
16-Nov-2021 13:59:34  | INF | ### | | a_y_S28_DC_SC_CBIST_nsf   |          0.67|     0.00  | a_y_S28_DC_SC_CBIST_nsf |
16-Nov-2021 13:59:34  | INF | ### | | a_z_S28_DC_SC_CBIST_nsf   |          0.60|     0.00  | a_z_S28_DC_SC_CBIST_nsf |
16-Nov-2021 13:59:35  | INF | ### | | c_odr_trim_current        |         -3.00|     0.00  | c_odr_trim_current |
16-Nov-2021 13:59:35  | INF | ### | | acc_trm_dgain_s0_y        |   -7364.00LSB|  0.00LSB  | dgain_s0_DC_CBIST_Noise_nsf_S28 |
16-Nov-2021 13:59:35  | INF | ### | | acc_trm_dgain_s0_z        |   -7364.00LSB|  0.00LSB  | dgain_s0_DC_CBIST_Noise_nsf_S28 |
16-Nov-2021 13:59:35  | INF | ### | | acc_trm_dgain_s0_x        |   -7364.00LSB|  0.00LSB  | dgain_s0_DC_CBIST_Noise_nsf_S28 |
16-Nov-2021 13:59:36  | INF | ### | | a_x_S28_DC_CBIST          |    -128.16LSB|  0.71LSB  | X < DC < X, AC < X |
16-Nov-2021 13:59:36  | INF | ### | | a_y_S28_DC_CBIST          |      23.05LSB|  0.49LSB  | X < DC < X, AC < X |
16-Nov-2021 13:59:36  | INF | ### | | a_z_S28_DC_CBIST          |      45.08LSB|  0.37LSB  | X < DC < X, AC < X |
16-Nov-2021 13:59:36  | INF | ### | | tm_acc_ileak              |       1.00LSB|  0.00LSB  | tm_acc_ileak |
16-Nov-2021 13:59:37  | INF | ### | | a_x_S28_DC_ILEAK_Noise    |    -128.83LSB|  0.74LSB  | X < DC < X, AC < X |
16-Nov-2021 13:59:37  | INF | ### | | a_y_S28_DC_ILEAK_Noise    |      22.27LSB|  0.75LSB  | X < DC < X, AC < X |
16-Nov-2021 13:59:37  | INF | ### | | a_z_S28_DC_ILEAK_Noise    |      44.02LSB|  0.63LSB  | X < DC < X, AC < X |
16-Nov-2021 13:59:37  | INF | ### | | a_x_S28_DC_ILEAK_DIFF     |          0.66|     0.00  | a_x_S28_DC_ILEAK_DIFF |
16-Nov-2021 13:59:37  | INF | ### | | a_y_S28_DC_ILEAK_DIFF     |          0.78|     0.00  | a_y_S28_DC_ILEAK_DIFF |
16-Nov-2021 13:59:37  | INF | ### | | a_z_S28_DC_ILEAK_DIFF     |          1.05|     0.00  | a_z_S28_DC_ILEAK_DIFF |
16-Nov-2021 13:59:37  | INF | ### | | tm_acc_axis_en            |       5.00LSB|  0.00LSB  | tm_acc_axis_en |
16-Nov-2021 13:59:38  | INF | ### | | a_x_S28_DC_ILEAK_CH2_Noise|    -130.35LSB|  0.57LSB  | X < DC < X, AC < X |
16-Nov-2021 13:59:38  | INF | ### | | a_y_S28_DC_ILEAK_CH2_Noise|   26919.92LSB|  0.00LSB  | X < DC < X, AC < X |
16-Nov-2021 13:59:38  | INF | ### | | a_z_S28_DC_ILEAK_CH2_Noise|      44.34LSB|  0.75LSB  | X < DC < X, AC < X |
16-Nov-2021 13:59:38  | INF | ### | | a_x_S28_DC_ILEAK_CH2_DIFF |          1.52|     0.00  | a_x_S28_DC_ILEAK_CH2_DIFF |
16-Nov-2021 13:59:38  | INF | ### | | a_y_S28_DC_ILEAK_CH2_DIFF |     -26897.66|     0.00  | a_y_S28_DC_ILEAK_CH2_DIFF |
16-Nov-2021 13:59:38  | INF | ### | | a_z_S28_DC_ILEAK_CH2_DIFF |         -0.31|     0.00  | a_z_S28_DC_ILEAK_CH2_DIFF |
16-Nov-2021 13:59:38  | INF | ### | | tm_acc_axis_en            |       7.00LSB|  0.00LSB  | tm_acc_axis_en |
